Rank,Network,Network Type,Network Category,# of Episodes,Unique Authors,Unique Authors Share,Unique Authors/Episodes,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Episodes,Tweets/Unique Authors,
100,ENCESP,Cable,Hispanic Premium,9,"1,127",0.13%,125,687,"1,230",0.07%,137,1.09,
101,ACMAX,Cable,Premium,10,"1,107",0.13%,111,307,"1,697",0.10%,170,1.53,
102,STZE,Cable,Premium,8,"1,101",0.13%,138,601,"1,190",0.07%,149,1.08,
103,ENCRA,Cable,Premium,7,"1,068",0.13%,153,614,"1,171",0.07%,167,1.10,
104,ESPND,Cable,Hispanic Sports,8,"1,043",0.12%,130,200,"1,288",0.07%,161,1.23,
105,RVLT,Cable,-,4,"1,032",0.12%,258,"1,757","1,285",0.07%,321,1.25,
106,GSN,Cable,-,30,"1,031",0.12%,34,677,"1,148",0.07%,38,1.11,
107,CNBC,Cable,News,16,"1,013",0.12%,63,"1,206","1,542",0.09%,96,1.52,
108,TMCX,Cable,-,7,"1,013",0.12%,145,508,"1,081",0.06%,154,1.07,
109,STARZ,Cable,Premium,13,973,0.11%,75,626,"1,015",0.06%,78,1.04,
110,UNIMAS,Broadcast,Hispanic,11,959,0.11%,87,680,"1,645",0.10%,150,1.72,
111,DJCH,Cable,-,46,924,0.11%,20,695,"1,021",0.06%,22,1.10,
112,MLBN,Cable,Sports,11,924,0.11%,84,489,"1,094",0.06%,99,1.18,
113,ESPNU,Cable,Sports,8,918,0.11%,115,815,985,0.06%,123,1.07,
114,CNNE,Cable,Hispanic News,15,918,0.11%,61,567,"1,665",0.10%,111,1.81,
115,HBOSIG,Cable,Premium,14,909,0.11%,65,619,979,0.06%,70,1.08,
116,NIKTON,Cable,-,43,882,0.10%,21,741,953,0.06%,22,1.08,
117,LOGO,Cable,-,23,845,0.10%,37,650,929,0.05%,40,1.10,
118,CMTV,Cable,-,20,820,0.10%,41,515,865,0.05%,43,1.05,
119,FOOD,Cable,-,22,800,0.09%,36,652,890,0.05%,40,1.11,
120,5MAX,Cable,Premium,9,764,0.09%,85,650,830,0.05%,92,1.09,
121,LMN,Cable,-,11,760,0.09%,69,577,779,0.05%,71,1.03,
122,TVLAND,Cable,-,41,695,0.08%,17,758,767,0.04%,19,1.10,
123,G4,Cable,-,20,660,0.08%,33,535,703,0.04%,35,1.07,
124,NICJR,Cable,-,45,650,0.08%,14,888,726,0.04%,16,1.12,
125,GAC,Cable,-,14,647,0.08%,46,580,"1,122",0.06%,80,1.73,
126,SUNDANC,Cable,-,9,643,0.08%,71,638,846,0.05%,94,1.32,
127,ESPNCL,Cable,Sports,7,631,0.07%,90,460,676,0.04%,97,1.07,
128,BLOOM,Cable,News,13,617,0.07%,47,"1,257",750,0.04%,58,1.22,
129,CTRC,Cable,-,23,615,0.07%,27,990,660,0.04%,29,1.07,
130,FSCR1,Cable,Sports,4,610,0.07%,153,"1,617","1,008",0.06%,252,1.65,
131,FCSA,Cable,Sports,2,608,0.07%,304,"1,620","1,006",0.06%,503,1.65,
132,PIVOT,Cable,-,13,589,0.07%,45,611,666,0.04%,51,1.13,
133,TVONE,Cable,-,36,588,0.07%,16,"1,018",704,0.04%,20,1.20,
134,SHOW,Cable,Premium,13,577,0.07%,44,735,613,0.04%,47,1.06,
135,HLN,Cable,-,11,568,0.07%,52,761,824,0.05%,75,1.45,
136,NGC,Cable,-,17,548,0.06%,32,561,589,0.03%,35,1.07,
137,MAX,Cable,Premium,8,540,0.06%,68,610,570,0.03%,71,1.06,
138,DSC,Cable,-,19,512,0.06%,27,449,613,0.04%,32,1.20,
139,HBO2,Cable,Premium,16,506,0.06%,32,580,545,0.03%,34,1.08,
140,HGTV,Cable,-,33,491,0.06%,15,827,651,0.04%,20,1.33,
141,HUB,Cable,-,32,463,0.05%,14,771,577,0.03%,18,1.25,
142,FBN,Cable,News,10,458,0.05%,46,"1,410",568,0.03%,57,1.24,
143,FS2,Cable,Sports,7,446,0.05%,64,"1,112",520,0.03%,74,1.17,
144,IFC,Cable,-,22,413,0.05%,19,514,433,0.03%,20,1.05,
145,AUD,Cable,-,9,409,0.05%,45,824,508,0.03%,56,1.24,
146,FXDEP,Cable,Hispanic Sports,3,409,0.05%,136,500,521,0.03%,174,1.27,
147,TCM,Cable,-,13,397,0.05%,31,982,547,0.03%,42,1.38,
148,FUSION,Cable,-,6,385,0.05%,64,"2,443",607,0.04%,101,1.58,
149,SPROUT,Cable,-,18,379,0.04%,21,670,393,0.02%,22,1.04,
150,AJAM,Cable,-,7,371,0.04%,53,"2,755",845,0.05%,121,2.28,
151,GALA,Cable,Hispanic,10,366,0.04%,37,696,385,0.02%,39,1.05,
152,STZC,Cable,Premium,7,365,0.04%,52,476,387,0.02%,55,1.06,
153,THMAX,Cable,Premium,9,362,0.04%,40,582,384,0.02%,43,1.06,
154,ENCFAM,Cable,Premium,7,357,0.04%,51,875,382,0.02%,55,1.07,
155,WEATH,Cable,-,18,352,0.04%,20,"1,114",437,0.03%,24,1.24,
156,TRAV,Cable,-,20,321,0.04%,16,732,403,0.02%,20,1.26,
157,APL,Cable,-,23,277,0.03%,12,698,345,0.02%,15,1.25,
158,HBOZ,Cable,Premium,14,263,0.03%,19,933,274,0.02%,20,1.04,
159,SHOWX,Cable,Premium,9,242,0.03%,27,754,248,0.01%,28,1.02,
160,MOMAX,Cable,Premium,13,222,0.03%,17,867,227,0.01%,17,1.02,
161,SNY,Cable,Sports,6,220,0.03%,37,557,234,0.01%,39,1.06,
162,OMAX,Cable,Premium,8,190,0.02%,24,449,207,0.01%,26,1.09,
163,UDN,Cable,Hispanic Sports,6,179,0.02%,30,"1,820",232,0.01%,39,1.30,
164,ID,Cable,-,22,175,0.02%,8,601,195,0.01%,9,1.11,
165,CBSSN,Cable,Sports,2,175,0.02%,88,"1,229",217,0.01%,109,1.24,
166,FOXLFUS,Cable,-,3,172,0.02%,57,402,174,0.01%,58,1.01,
167,NGWILD,Cable,-,14,161,0.02%,12,738,171,0.01%,12,1.06,
168,CHILLER,Cable,-,28,156,0.02%,6,602,165,0.01%,6,1.06,
169,FAMZ,Cable,Premium,6,148,0.02%,25,457,158,0.01%,26,1.07,
170,HALL,Cable,-,12,145,0.02%,12,"1,334",227,0.01%,19,1.57,
171,NUVOTV,Cable,-,22,143,0.02%,7,471,152,0.01%,7,1.06,
172,COOK,Cable,-,21,134,0.02%,6,"1,089",152,0.01%,7,1.13,
173,SCIENCE,Cable,-,32,129,0.02%,4,375,139,0.01%,4,1.08,
174,FSP,Cable,Sports,1,127,0.01%,127,673,148,0.01%,148,1.17,
175,NEXT,Cable,Premium,8,119,0.01%,15,719,140,0.01%,18,1.18,
176,DIY,Cable,-,28,107,0.01%,4,784,114,0.01%,4,1.07,
177,HDNETMV,Cable,-,6,105,0.01%,18,582,108,0.01%,18,1.03,
178,MILI,Cable,-,9,98,0.01%,11,153,119,0.01%,13,1.21,
179,SHO2,Cable,Premium,8,95,0.01%,12,"1,128",99,0.01%,12,1.04,
180,STZIB,Cable,Premium,9,95,0.01%,11,804,98,0.01%,11,1.03,
181,CNBCWLD,Cable,News,8,89,0.01%,11,"1,219",112,0.01%,14,1.26,
182,ENCSUS,Cable,Premium,9,88,0.01%,10,442,91,0.01%,10,1.03,
183,STZCI,Cable,Premium,12,82,0.01%,7,641,84,0.00%,7,1.02,
184,MUN2,Cable,Hispanic,5,77,0.01%,15,479,107,0.01%,21,1.39,
185,SHOCSE,Cable,Premium,10,76,0.01%,8,525,85,0.00%,9,1.12,
186,MGMHD,Cable,-,9,74,0.01%,8,"1,007",77,0.00%,9,1.04,
187,MUNDOFOX,Cable,Hispanic,8,73,0.01%,9,961,87,0.01%,11,1.19,
188,DFH,Cable,-,16,69,0.01%,4,863,88,0.01%,6,1.28,
189,AFRCA,Cable,-,4,68,0.01%,17,601,82,0.00%,21,1.21,
190,TMC,Cable,-,10,66,0.01%,7,592,69,0.00%,7,1.05,
191,SPRTMAN,Cable,-,15,66,0.01%,4,"1,681",73,0.00%,5,1.11,
192,GOLF,Cable,Sports,5,64,0.01%,13,"1,895",75,0.00%,15,1.17,
193,SMITH,Cable,-,9,63,0.01%,7,651,72,0.00%,8,1.14,
194,REELZ,Cable,-,7,62,0.01%,9,832,79,0.00%,11,1.27,
195,H2,Cable,-,14,53,0.01%,4,543,62,0.00%,4,1.17,
196,UNITLNO,Cable,Hispanic,5,53,0.01%,11,575,137,0.01%,27,2.58,
197,OVATION,Cable,-,7,53,0.01%,8,585,60,0.00%,9,1.13,
198,BIO,Cable,-,16,52,0.01%,3,671,69,0.00%,4,1.33,
199,DEST,Cable,-,18,49,0.01%,3,"1,267",55,0.00%,3,1.12,
200,UHD,Cable,-,6,46,0.01%,8,612,46,0.00%,8,1.00,
201,SHOWB,Cable,Premium,5,46,0.01%,9,693,50,0.00%,10,1.09,
202,CSNNE,Cable,Sports,3,39,0.00%,13,"2,374",43,0.00%,14,1.10,
203,BIGTENO,Cable,Sports,6,35,0.00%,6,"1,079",45,0.00%,8,1.29,
204,OUTD,Cable,-,6,29,0.00%,5,697,41,0.00%,7,1.41,
205,FEAR,Cable,-,1,24,0.00%,24,825,30,0.00%,30,1.25,
206,TDCES,Cable,Hispanic,4,21,0.00%,5,264,24,0.00%,6,1.14,
207,VEL,Cable,-,18,19,0.00%,1,164,22,0.00%,1,1.16,
208,MILH,Cable,-,2,18,0.00%,9,263,20,0.00%,10,1.11,
209,HDPPV,Cable,Premium,1,18,0.00%,18,"3,155",19,0.00%,19,1.06,
210,NY1,Cable,News,5,17,0.00%,3,627,21,0.00%,4,1.24,
211,MASN2,Cable,Sports,3,16,0.00%,5,"2,837",18,0.00%,6,1.13,
212,ENCRWS,Cable,Premium,5,12,0.00%,2,"1,336",12,0.00%,2,1.00,
213,WOMEN,Cable,Premium,4,9,0.00%,2,427,9,0.00%,2,1.00,
214,YES,Cable,Sports,3,9,0.00%,3,504,13,0.00%,4,1.44,
215,NGMUNDO,Cable,Hispanic,2,8,0.00%,4,288,8,0.00%,4,1.00,
216,STO,Cable,Sports,1,7,0.00%,7,211,7,0.00%,7,1.00,
217,SONY,Cable,-,3,7,0.00%,2,149,7,0.00%,2,1.00,
218,MASN,Cable,Sports,2,7,0.00%,4,160,7,0.00%,4,1.00,
219,CIN,Cable,-,6,6,0.00%,1,508,6,0.00%,1,1.00,
220,CST,Cable,Sports,1,1,0.00%,1,87,1,0.00%,1,1.00,
221,FOXHDSS,Cable,Sports,1,1,0.00%,1,58,1,0.00%,1,1.00,
222,CSNP,Cable,Sports,1,1,0.00%,1,58,1,0.00%,1,1.00,
223,TENNIS,Cable,Sports,1,1,0.00%,1,80,1,0.00%,1,1.00,
224,BEIN1,Cable,Hispanic Sports,1,1,0.00%,1,559,1,0.00%,1,1.00,
