,zip,join_month,k1bday_month,k2bday_month,jvb_pre,gender_Female,club_email_Yes,advice_grp_1,classifieds_1,classifieds_spouse_1,tony_kids_Yes,disc_PSP_unknown,disc_friend_neigh,disc_Yahoo,disc_Google,disc_other_par_grp,disc_mag_paper_blog,disc_no_recall,discovered_Other,kid_count_0.5,kid_count_1.0,kid_count_2.0,kid_count_3.0,kid_count_4.0
tony_kids_Yes,0.00126412145178,0.0247005846652,0.00695200931621,0.0130113817289,0.058748132782,0.019818465879,0.0295879935379,0.106827614167,0.0394884856588,0.040480065698,1.0,0.00981178035223,0.0081810421347,0.000872546061486,0.00406290788793,0.0103995698645,0.00628197010985,0.0199370400175,0.0134710565781,0.0825908186951,0.00256709598906,0.060743033922,0.0249277253327,0.0124906532288
disc_PSP_unknown,0.0149185908157,0.0159448915705,0.0154322127133,0.0151286638766,0.0131834223667,0.00343308847456,0.0140872515909,0.00447567165758,0.00453662647491,0.00355014474723,0.00981178035223,1.0,0.292537428484,0.0218130345859,0.0693925713957,0.0361921168688,0.0252519441344,0.0712693150033,0.0591373899972,0.0025799026576,0.00225089972849,0.00343690528211,0.00173793036245,0.010497914969
disc_friend_neigh,0.00562002011356,0.00161146160156,0.0115787873674,0.0133408084682,0.0840060768586,0.0487179075067,0.00139164903806,0.00954099132401,0.0185293129891,0.0211765857303,0.0081810421347,0.292537428484,1.0,0.135550355556,0.431218668296,0.224904714224,0.156920395116,0.442881110873,0.367491015943,0.0513830534554,0.0070676353022,0.021039439601,0.0238031400215,0.0274809427274
disc_Yahoo,0.00600005003695,0.0147257312328,0.0131319345345,0.00673397029164,0.0369503733634,0.00699385009707,0.00338279739806,0.00469714703445,0.000531159476661,0.0110239792418,0.000872546061486,0.0218130345859,0.135550355556,1.0,0.0321537923348,0.0167700055864,0.0117007591939,0.0330234016174,0.0274019440259,0.0201180334099,0.0151251306701,0.0211543903296,0.0166632643513,0.0110239751304
disc_Google,0.000616462703128,0.0103065306136,0.0132184597513,0.00818710520794,0.0038296759449,0.00407764211776,0.0179216076793,0.00895671414651,0.0159629223786,0.0120787787763,0.00406290788793,0.0693925713957,0.431218668296,0.0321537923348,1.0,0.0533494688864,0.03722296247,0.105055477056,0.0871722524302,0.0217441599399,0.0458975342239,0.052121482208,0.0231409930381,0.00164217026112
disc_other_par_grp,0.0231000081333,0.00153436310838,0.00326913206558,0.0112147452705,0.0444523550719,0.0084597630149,0.00331006208768,0.00111368737936,0.0121092862276,0.0118863773451,0.0103995698645,0.0361921168688,0.224904714224,0.0167700055864,0.0533494688864,1.0,0.0194138620435,0.0547923218127,0.0454652174465,0.0186843655221,0.00903574981833,0.00470350972759,0.00119243629021,0.00458789839349
disc_mag_paper_blog,0.0069283405577,0.00481504074996,0.00866816910621,0.0154315850682,0.0210261188998,0.0188257380449,0.0102536431037,0.0111344825635,0.00401644535514,0.0022510903986,0.00628197010985,0.0252519441344,0.156920395116,0.0117007591939,0.03722296247,0.0194138620435,1.0,0.0382296690304,0.0317219668354,0.000151499158524,0.0149850280656,0.00709770994781,0.0174173285715,0.00869571284754
disc_no_recall,0.00678879279843,0.00732937530424,0.00148657957811,0.00550904378364,0.0641398247376,0.0366181803616,0.0164365462966,0.00299782475378,0.00661480070109,0.0065805430785,0.0199370400175,0.0712693150033,0.442881110873,0.0330234016174,0.105055477056,0.0547923218127,0.0382296690304,1.0,0.0895298530237,0.0682139931526,0.0393492446275,0.076791288374,0.0361155928073,0.0190137261912
discovered_Other,0.00988017378928,0.00864982515524,0.0268559094936,0.0271532121634,0.0444412658913,0.0359414503218,0.014269840518,0.00841015014621,0.0115360033594,0.00830253583393,0.0134710565781,0.0591373899972,0.367491015943,0.0274019440259,0.0871722524302,0.0454652174465,0.0317219668354,0.0895298530237,1.0,0.0240426236044,0.0251877425764,0.00463488297475,0.0299596852341,0.0196276457221
kid_count_0.5,0.0199675605639,0.00377433445603,0.0137776174337,0.015709480125,0.517383778727,0.0236989545678,0.0287681200876,0.0186849793518,0.00902291560328,0.00675864556667,0.0825908186951,0.0025799026576,0.0513830534554,0.0201180334099,0.0217441599399,0.0186843655221,0.000151499158524,0.0682139931526,0.0240426236044,1.0,0.368615125911,0.267234488686,0.0854081906876,0.0287077949784
