Date/Time,Lat,Lon,Base
4/18/14 8:02,40.7343,-73.9936,B02512
5/8/14 8:05,40.734,-74.0094,B02512
5/16/14 8:05,40.718,-74.0099,B02512
6/24/14 8:07,40.7287,-73.9805,B02512
5/14/14 8:08,40.758,-73.9707,B02512
5/13/14 8:08,40.692,-74.1813,B02512
6/14/14 8:08,40.778,-73.9487,B02512
6/25/14 8:08,40.7658,-73.9692,B02512
4/24/14 8:08,40.7222,-74.0104,B02512
5/28/14 8:10,40.7329,-73.9881,B02512
7/4/14 8:11,40.7659,-73.9766,B02512
5/30/14 8:16,40.7789,-73.9618,B02512
7/2/14 8:18,40.789,-73.9743,B02512
5/25/14 8:19,40.7617,-73.9843,B02512
6/19/14 8:19,40.7214,-73.9475,B02512
7/1/14 8:20,40.7595,-73.9913,B02512
4/29/14 8:21,40.7931,-73.9748,B02512
4/25/14 8:21,40.7371,-74.0004,B02512
5/17/14 8:22,40.7345,-73.996,B02512
4/24/14 8:24,40.7747,-73.9912,B02512
6/17/14 8:24,40.8822,-73.9211,B02512
4/25/14 8:25,40.762,-73.9787,B02512
4/22/14 8:25,40.762,-73.9787,B02512
5/6/14 8:27,40.7326,-74.0038,B02512
4/15/14 8:28,40.7555,-73.9737,B02512
6/26/14 8:28,40.7596,-73.9854,B02512
5/31/14 8:29,40.6904,-74.1778,B02512
4/19/14 8:29,40.6904,-74.1778,B02512
7/5/14 8:30,40.7408,-73.9914,B02512
6/14/14 8:32,40.6819,-73.9358,B02512
6/20/14 8:32,40.7624,-73.9714,B02512
4/20/14 8:36,40.7805,-73.9548,B02512
6/22/14 8:39,40.7889,-73.9542,B02512
5/2/14 8:42,40.7835,-73.9513,B02512
4/29/14 8:43,40.7651,-73.9617,B02512
5/9/14 8:43,40.7261,-73.9918,B02512
5/11/14 8:44,40.7303,-73.9937,B02512
6/3/14 8:44,40.8736,-74.0628,B02512
4/16/14 8:45,40.724,-73.9981,B02512
6/4/14 8:46,40.7744,-73.9578,B02512
6/18/14 8:49,40.7607,-73.9861,B02512
5/30/14 8:49,40.7749,-73.9841,B02512
6/19/14 8:51,40.7625,-73.9724,B02512
5/5/14 8:52,40.7377,-73.9965,B02512
4/30/14 8:54,40.7388,-74.0087,B02512
4/2/14 8:56,40.7677,-73.981,B02512
5/18/14 8:58,40.7691,-73.9652,B02512
5/12/14 8:58,40.7816,-73.9602,B02512
5/14/14 8:58,40.7739,-73.8717,B02512
5/6/14 9:00,40.7841,-73.9542,B02512
4/4/14 9:02,40.7426,-73.9963,B02512
4/23/14 9:05,40.771,-73.8669,B02512
6/24/14 9:06,40.775,-73.9888,B02512
5/27/14 9:07,40.7356,-74.0029,B02512
6/9/14 9:08,40.7666,-73.9784,B02512
6/15/14 9:10,40.7118,-73.9499,B02512
5/15/14 9:12,40.7097,-74.0153,B02512
4/9/14 9:15,40.7438,-74.0061,B02512
4/6/14 9:16,40.76,-73.9861,B02512
6/25/14 9:16,40.7752,-73.9635,B02512
4/11/14 9:23,40.7788,-73.956,B02512
5/19/14 9:24,40.8078,-73.9639,B02512
4/21/14 9:24,40.7631,-73.9784,B02512
4/3/14 9:25,40.7788,-73.951,B02512
5/15/14 9:25,40.7714,-73.9594,B02512
4/19/14 9:28,40.7694,-73.983,B02512
5/6/14 9:30,40.733,-73.9901,B02512
6/5/14 9:32,40.7412,-73.9878,B02512
6/15/14 9:35,40.7526,-73.975,B02512
4/22/14 9:38,40.7602,-73.9598,B02512
4/2/14 9:42,40.773,-73.9669,B02512
4/15/14 9:46,40.7628,-73.9948,B02512
5/19/14 9:46,40.7752,-73.9636,B02512
6/28/14 9:48,40.7283,-74.0071,B02512
6/22/14 9:49,40.7195,-74.0367,B02512
6/5/14 9:49,40.7195,-74.0367,B02512
6/4/14 9:52,40.7747,-73.9911,B02512
6/22/14 9:52,40.7401,-73.992,B02512
4/22/14 9:54,40.7686,-73.9698,B02512
5/9/14 9:54,40.7336,-73.9982,B02512
5/23/14 9:55,40.7795,-73.9837,B02512
4/17/14 9:58,40.7148,-74.0162,B02512
4/22/14 9:58,40.7438,-73.9759,B02512
5/1/14 9:58,40.745,-73.9888,B02512
5/3/14 10:01,40.7768,-73.9773,B02512
4/10/14 10:01,40.7594,-73.966,B02512
6/13/14 10:04,40.7741,-73.8726,B02512
4/28/14 10:05,40.7367,-73.9907,B02512
4/18/14 10:06,40.7368,-73.9847,B02512
6/12/14 10:07,40.8079,-73.9638,B02512
5/28/14 10:15,40.6678,-73.7956,B02512
4/17/14 10:15,40.721,-74.0033,B02512
5/22/14 10:15,40.7764,-73.9598,B02512
5/31/14 10:18,40.7746,-73.9581,B02512
6/1/14 10:18,40.7745,-73.9638,B02512
6/14/14 10:22,40.7224,-73.9935,B02512
4/17/14 10:22,40.7736,-73.9626,B02512
6/7/14 10:23,40.7348,-73.9929,B02512
4/21/14 10:27,40.7605,-73.9991,B02512
6/27/14 10:27,40.6948,-74.1779,B02512
4/8/14 10:29,40.7573,-73.9877,B02512
6/25/14 10:32,40.6949,-74.1781,B02512
6/16/14 10:32,40.6949,-74.1781,B02512
6/15/14 10:32,40.7771,-73.9754,B02512
5/6/14 10:33,40.7584,-73.989,B02512
5/10/14 10:33,40.755,-73.9878,B02512
4/29/14 10:34,40.7226,-74.0004,B02512
4/19/14 10:34,40.774,-73.9607,B02512
4/12/14 10:34,40.7718,-73.9654,B02512
6/8/14 10:34,40.7748,-73.991,B02512
6/20/14 10:36,40.775,-73.9595,B02512
4/18/14 10:37,40.7636,-73.9636,B02512
7/5/14 10:37,40.7743,-73.9847,B02512
4/25/14 10:41,40.7688,-73.8627,B02512
4/17/14 10:43,40.7254,-74.0071,B02512
4/17/14 10:44,40.7534,-73.9748,B02512
5/24/14 10:44,40.7773,-73.9595,B02512
