,zip,primary_city,county,state,County#,ZCTA5CE10,area-sqm
753,52301,MARENGO,Iowa,IA,48,52301,316484635
754,52302,MARION,Linn,IA,57,52302,192237746
755,52305,MARTELLE,Jones,IA,53,52305,73493573
756,52306,MECHANICSVILLE,Cedar,IA,16,52306,194245557
757,52307,MIDDLE AMANA,Iowa,IA,48,52307,488234
758,52308,MILLERSBURG,Iowa,IA,48,52308,233003
759,52309,MONMOUTH,Jackson,IA,49,52309,74291839
760,52310,MONTICELLO,Jones,IA,53,52310,385183593
761,52312,MORLEY,Jones,IA,53,52312,242872
762,52313,MOUNT AUBURN,Benton,IA,6,52313,84959546
763,52314,MOUNT VERNON,Linn,IA,57,52314,155658054
764,52315,NEWHALL,Benton,IA,6,52315,75003645
765,52316,NORTH ENGLISH,Iowa,IA,48,52316,180293861
766,52317,NORTH LIBERTY,Johnson,IA,52,52317,95897591
767,52318,NORWAY,Benton,IA,6,52318,95080335
768,52320,OLIN,Jones,IA,53,52320,153985129
769,52321,ONSLOW,Jones,IA,53,52321,77841390
770,52322,OXFORD,Johnson,IA,52,52322,231220008
771,52323,OXFORD JUNCTION,Jones,IA,53,52323,132353794
772,52324,PALO,Linn,IA,57,52324,107056042
773,52325,PARNELL,Iowa,IA,48,52325,109143193
774,52326,QUASQUETON,Buchanan,IA,10,52326,5447918
775,52327,RIVERSIDE,Washington,IA,92,52327,217607612
776,52328,ROBINS,Linn,IA,57,52328,7989464
777,52329,ROWLEY,Buchanan,IA,10,52329,132090802
778,52330,RYAN,Delaware,IA,28,52330,123160697
779,52332,SHELLSBURG,Benton,IA,6,52332,110692089
780,52333,SOLON,Johnson,IA,52,52333,234514567
781,52334,SOUTH AMANA,Iowa,IA,48,52334,43109728
782,52335,SOUTH ENGLISH,Keokuk,IA,54,52335,144712437
783,52336,SPRINGVILLE,Linn,IA,57,52336,127253732
784,52337,STANWOOD,Cedar,IA,16,52337,70714333
785,52338,SWISHER,Johnson,IA,52,52338,88823370
786,52339,TAMA,Tama,IA,86,52339,265108854
787,52340,TIFFIN,Johnson,IA,52,52340,42940483
788,52341,TODDVILLE,Linn,IA,57,52341,34645440
789,52342,TOLEDO,Tama,IA,86,52342,232660911
790,52345,URBANA,Benton,IA,6,52345,8460683
