,Zip Code,Predicted Total Sales,Predicted Dollar/liter,Store Count,Area (sqkm),Stores per sqkm,Zip Sales - Total,Dollar per liter
848,50112,1393259.55056,12.6589410178,7.0,475.672153,0.0147160180722,1152139.34,14.2690997659
922,50115,18351.1791883,5.48068140637,2.0,441.185334,0.00453324225868,88531.86,12.1170620745
935,50116,-218940.767529,21.1051829097,,,,,
936,50117,250662.074719,13.8111467399,,,,,
937,50118,106913.577079,9.09604969144,,,,,
938,50119,191150.188432,9.20511085156,,,,,
939,50122,261897.516121,16.8980472621,1.0,218.621364,0.00457411838305,46518.96,9.49862785455
951,50123,131863.569589,11.518153448,1.0,204.584834,0.00488794785248,26602.95,10.6272795184
962,50124,704301.133316,15.9255914003,2.0,54.098688,0.0369694732708,84641.64,13.9024580134
980,50125,1306890.58244,12.3664581867,8.0,426.521944,0.0187563620408,1869697.92,12.2013381614
1071,50126,681736.025144,13.9959878965,5.0,351.87483,0.0142095983393,1020080.95,13.3002073625
1120,50128,-6910.12635759,-1.45537461657,,,,,
1121,50129,610235.016255,12.5489023858,5.0,435.65865,0.0114768753013,824615.38,12.5403322472
1179,50131,679614.611487,14.7530911944,9.0,64.666939,0.13917467162,1529568.87,14.3389145869
1265,50132,96263.7329253,10.2621433232,,,,,
1266,50133,148185.933904,15.3543426097,,,,,
1267,50134,286554.864044,13.4095914453,,,,,
1268,50135,193034.889825,12.6313653409,1.0,195.278764,0.00512088452178,19260.99,14.3685117493
1275,50136,-146701.533206,9.47179243741,1.0,100.632209,0.00993717627723,7363.35,11.0172065535
1280,50138,1079029.50456,12.3343498827,5.0,461.827288,0.0108265581743,951679.2,13.362167153
1340,50139,-20601.9060266,-79.144387209,,,,,
1341,50141,-91633.1101213,10.7718087739,,,,,
1342,50142,207216.888924,14.5486818119,1.0,2.566675,0.389609124646,81746.52,13.5901727646
1354,50143,215097.388429,10.7767676889,,,,,
1355,50144,380911.247487,13.9984080742,3.0,362.605062,0.00827346420222,80122.54,13.5662952929
1383,50146,38546.6631894,3.03157057062,,,,,
1384,50147,-37381.0123873,19.8698894582,,,,,
1385,50148,104507.855213,7.438883751,,,,,
1386,50149,119568.648317,9.66936560096,,,,,
1387,50151,137743.369325,8.74172552739,,,,,
