,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
470,3644,50009,2016,858,11125.8,922.5
471,3645,50311,2015,1950,30602.76,2191.5
472,3645,50311,2016,504,7353.36,522.0
473,3647,52732,2015,3001,41213.31,3402.75
474,3647,52732,2016,564,7793.4,711.0
475,3648,50629,2015,354,4294.71,380.25
476,3648,50629,2016,73,778.83,73.75
477,3650,51025,2015,1542,23756.4,1597.0
478,3650,51025,2016,382,5954.38,403.4
479,3651,50125,2015,1146,16242.84,1333.5
480,3651,50125,2016,234,3612.18,301.5
481,3652,51445,2015,254,3901.24,251.5
482,3652,51445,2016,106,1901.44,104.5
483,3654,50421,2015,731,9479.3,819.75
484,3654,50421,2016,188,2394.38,209.25
485,3655,51104,2015,849,9142.26,577.45
486,3655,51104,2016,48,382.68,27.0
487,3656,50021,2015,1254,20611.26,1186.5
488,3656,50021,2016,210,3817.62,193.5
489,3660,50138,2015,948,13818.6,1059.0
490,3660,50138,2016,138,1842.96,169.5
491,3663,50702,2015,2454,33199.62,2722.5
492,3663,50702,2016,642,9899.04,721.5
493,3664,50459,2015,878,11316.49,960.41
494,3664,50459,2016,212,3034.0,243.76
495,3666,52404,2015,1878,30745.8,1977.0
496,3666,52404,2016,426,7310.7,421.5
497,3670,52241,2015,3253,45033.36,3624.75
498,3670,52241,2016,870,12091.32,908.4
499,3676,50636,2015,321,3939.16,354.62
500,3676,50636,2016,50,658.53,54.38
501,3677,51338,2015,48,573.51,56.25
502,3677,51338,2016,2,67.5,2.0
503,3678,50320,2015,1381,17220.56,1019.7
504,3678,50320,2016,376,3751.66,264.27
505,3679,52159,2015,693,12115.68,803.09
506,3679,52159,2016,177,2830.94,209.0
507,3682,50483,2015,1495,23243.51,1692.87
508,3682,50483,2016,289,4482.76,333.0
509,3688,50630,2015,315,4154.49,400.5
510,3688,50630,2016,108,1338.84,123.75
511,3690,50702,2015,951,14908.31,835.75
512,3690,50702,2016,194,3362.38,183.0
513,3691,50322,2015,1690,28984.64,1676.1
514,3691,50322,2016,168,2793.54,180.0
515,3692,52314,2015,1261,16331.52,1279.25
516,3695,51050,2015,773,10120.82,837.35
517,3695,51050,2016,185,2431.38,170.25
518,3696,50315,2015,810,13050.3,844.5
519,3696,50315,2016,174,3008.58,184.5
520,3698,50266,2015,730,13544.38,576.3
521,3698,50266,2016,132,2257.9,113.2
