,zip,primary_city,county,state,County#
304,50471,RUDD,Floyd,IA,34
305,50472,SAINT ANSGAR,Mitchell,IA,66
306,50473,SCARVILLE,Winnebago,IA,95
307,50475,SHEFFIELD,Franklin,IA,35
308,50476,STACYVILLE,Mitchell,IA,66
309,50477,SWALEDALE,Cerro Gordo,IA,17
310,50478,THOMPSON,Winnebago,IA,95
311,50479,THORNTON,Cerro Gordo,IA,17
312,50480,TITONKA,Kossuth,IA,55
313,50481,TOETERVILLE,Mitchell,IA,66
314,50482,VENTURA,Cerro Gordo,IA,17
315,50483,WESLEY,Kossuth,IA,55
316,50484,WODEN,Hancock,IA,41
317,50501,FORT DODGE,Webster,IA,94
318,50510,ALBERT CITY,Buena Vista,IA,11
319,50511,ALGONA,Kossuth,IA,55
320,50514,ARMSTRONG,Emmet,IA,32
321,50515,AYRSHIRE,Palo Alto,IA,74
322,50516,BADGER,Webster,IA,94
323,50517,BANCROFT,Kossuth,IA,55
324,50518,BARNUM,Webster,IA,94
325,50519,BODE,Humboldt,IA,46
326,50520,BRADGATE,Humboldt,IA,46
327,50521,BURNSIDE,Webster,IA,94
328,50522,BURT,Kossuth,IA,55
329,50523,CALLENDER,Webster,IA,94
330,50524,CLARE,Webster,IA,94
331,50525,CLARION,Wright,IA,99
332,50526,CLARION,Wright,IA,99
333,50527,CURLEW,Palo Alto,IA,74
334,50528,CYLINDER,Palo Alto,IA,74
335,50529,DAKOTA CITY,Humboldt,IA,46
336,50530,DAYTON,Webster,IA,94
337,50531,DOLLIVER,Emmet,IA,32
338,50532,DUNCOMBE,Webster,IA,94
339,50533,EAGLE GROVE,Wright,IA,99
340,50535,EARLY,Sac,IA,81
341,50536,EMMETSBURG,Palo Alto,IA,74
342,50538,FARNHAMVILLE,Calhoun,IA,13
343,50539,FENTON,Kossuth,IA,55
344,50540,FONDA,Pocahontas,IA,76
345,50541,GILMORE CITY,Humboldt,IA,46
346,50542,GOLDFIELD,Wright,IA,99
347,50543,GOWRIE,Webster,IA,94
348,50544,HARCOURT,Webster,IA,94
349,50545,HARDY,Humboldt,IA,46
350,50546,HAVELOCK,Pocahontas,IA,76
351,50548,HUMBOLDT,Humboldt,IA,46
352,50551,JOLLEY,Calhoun,IA,13
353,50552,KNIERIM,Calhoun,IA,13
354,50554,LAURENS,Pocahontas,IA,76
355,50556,LEDYARD,Kossuth,IA,55
356,50557,LEHIGH,Webster,IA,94
357,50558,LIVERMORE,Humboldt,IA,46
358,50559,LONE ROCK,Kossuth,IA,55
359,50560,LU VERNE,Kossuth,IA,55
360,50561,LYTTON,Calhoun,IA,13
361,50562,MALLARD,Palo Alto,IA,74
362,50563,MANSON,Calhoun,IA,13
363,50565,MARATHON,Buena Vista,IA,11
364,50566,MOORLAND,Webster,IA,94
365,50567,NEMAHA,Sac,IA,81
366,50568,NEWELL,Buena Vista,IA,11
367,50569,OTHO,Webster,IA,94
368,50570,OTTOSEN,Humboldt,IA,46
369,50571,PALMER,Pocahontas,IA,76
370,50573,PLOVER,Pocahontas,IA,76
371,50574,POCAHONTAS,Pocahontas,IA,76
372,50575,POMEROY,Calhoun,IA,13
373,50576,REMBRANDT,Buena Vista,IA,11
374,50577,RENWICK,Humboldt,IA,46
375,50578,RINGSTED,Emmet,IA,32
376,50579,ROCKWELL CITY,Calhoun,IA,13
377,50581,ROLFE,Pocahontas,IA,76
378,50582,RUTLAND,Humboldt,IA,46
379,50583,SAC CITY,Sac,IA,81
380,50585,SIOUX RAPIDS,Buena Vista,IA,11
381,50586,SOMERS,Calhoun,IA,13
382,50588,STORM LAKE,Buena Vista,IA,11
383,50590,SWEA CITY,Kossuth,IA,55
384,50591,THOR,Humboldt,IA,46
385,50592,TRUESDALE,Buena Vista,IA,11
386,50593,VARINA,Pocahontas,IA,76
387,50594,VINCENT,Webster,IA,94
388,50595,WEBSTER CITY,Hamilton,IA,40
389,50597,WEST BEND,Palo Alto,IA,74
390,50598,WHITTEMORE,Kossuth,IA,55
391,50599,WOOLSTOCK,Wright,IA,99
392,50601,ACKLEY,Franklin,IA,35
393,50602,ALLISON,Butler,IA,12
394,50603,ALTA VISTA,Chickasaw,IA,19
395,50604,APLINGTON,Butler,IA,12
396,50605,AREDALE,Butler,IA,12
397,50606,ARLINGTON,Fayette,IA,33
398,50607,AURORA,Buchanan,IA,10
399,50608,AUSTINVILLE,Butler,IA,12
400,50609,BEAMAN,Grundy,IA,38
401,50611,BRISTOW,Butler,IA,12
402,50612,BUCKINGHAM,Tama,IA,86
403,50613,CEDAR FALLS,Black Hawk,IA,7
404,50614,CEDAR FALLS,Black Hawk,IA,7
405,50616,CHARLES CITY,Floyd,IA,34
406,50619,CLARKSVILLE,Butler,IA,12
407,50620,COLWELL,Floyd,IA,34
408,50621,CONRAD,Grundy,IA,38
409,50622,DENVER,Bremer,IA,9
410,50623,DEWAR,Black Hawk,IA,7
411,50624,DIKE,Grundy,IA,38
412,50625,DUMONT,Butler,IA,12
413,50626,DUNKERTON,Black Hawk,IA,7
414,50627,ELDORA,Hardin,IA,42
415,50628,ELMA,Howard,IA,45
416,50629,FAIRBANK,Buchanan,IA,10
417,50630,FREDERICKSBURG,Chickasaw,IA,19
418,50631,FREDERIKA,Bremer,IA,9
419,50632,GARWIN,Tama,IA,86
420,50633,GENEVA,Franklin,IA,35
421,50634,GILBERTVILLE,Black Hawk,IA,7
422,50635,GLADBROOK,Tama,IA,86
423,50636,GREENE,Butler,IA,12
424,50638,GRUNDY CENTER,Grundy,IA,38
425,50641,HAZLETON,Buchanan,IA,10
426,50642,HOLLAND,Grundy,IA,38
427,50643,HUDSON,Black Hawk,IA,7
428,50644,INDEPENDENCE,Buchanan,IA,10
429,50645,IONIA,Chickasaw,IA,19
430,50647,JANESVILLE,Bremer,IA,9
431,50648,JESUP,Black Hawk,IA,7
432,50649,KESLEY,Butler,IA,12
433,50650,LAMONT,Buchanan,IA,10
434,50651,LA PORTE CITY,Black Hawk,IA,7
435,50652,LINCOLN,Tama,IA,86
436,50653,MARBLE ROCK,Floyd,IA,34
437,50654,MASONVILLE,Delaware,IA,28
438,50655,MAYNARD,Fayette,IA,33
439,50657,MORRISON,Grundy,IA,38
440,50658,NASHUA,Chickasaw,IA,19
441,50659,NEW HAMPTON,Chickasaw,IA,19
442,50660,NEW HARTFORD,Butler,IA,12
443,50661,NORTH WASHINGTON,Chickasaw,IA,19
444,50662,OELWEIN,Fayette,IA,33
445,50664,ORAN,Fayette,IA,33
446,50665,PARKERSBURG,Butler,IA,12
447,50666,PLAINFIELD,Bremer,IA,9
448,50667,RAYMOND,Black Hawk,IA,7
449,50668,READLYN,Bremer,IA,9
450,50669,REINBECK,Grundy,IA,38
451,50670,SHELL ROCK,Butler,IA,12
452,50671,STANLEY,Buchanan,IA,10
453,50672,STEAMBOAT ROCK,Hardin,IA,42
454,50673,STOUT,Grundy,IA,38
455,50674,SUMNER,Bremer,IA,9
456,50675,TRAER,Tama,IA,86
457,50676,TRIPOLI,Bremer,IA,9
458,50677,WAVERLY,Bremer,IA,9
459,50680,WELLSBURG,Grundy,IA,38
460,50681,WESTGATE,Fayette,IA,33
461,50682,WINTHROP,Buchanan,IA,10
462,50701,WATERLOO,Black Hawk,IA,7
463,50702,WATERLOO,Black Hawk,IA,7
464,50703,WATERLOO,Black Hawk,IA,7
465,50704,WATERLOO,Black Hawk,IA,7
466,50706,WATERLOO,Black Hawk,IA,7
467,50707,EVANSDALE,Black Hawk,IA,7
468,50801,CRESTON,Union,IA,88
469,50830,AFTON,Union,IA,88
470,50831,ARISPE,Union,IA,88
471,50833,BEDFORD,Taylor,IA,87
472,50835,BENTON,Ringgold,IA,80
473,50836,BLOCKTON,Taylor,IA,87
474,50837,BRIDGEWATER,Adair,IA,1
475,50839,CARBON,Adams,IA,2
476,50840,CLEARFIELD,Taylor,IA,87
477,50841,CORNING,Adams,IA,2
478,50842,CROMWELL,Union,IA,88
479,50843,CUMBERLAND,Cass,IA,15
480,50845,DIAGONAL,Ringgold,IA,80
481,50846,FONTANELLE,Adair,IA,1
482,50847,GRANT,Montgomery,IA,69
483,50848,GRAVITY,Taylor,IA,87
484,50849,GREENFIELD,Adair,IA,1
485,50851,LENOX,Taylor,IA,87
486,50853,MASSENA,Cass,IA,15
487,50854,MOUNT AYR,Ringgold,IA,80
488,50857,NODAWAY,Adams,IA,2
489,50858,ORIENT,Adair,IA,1
490,50859,PRESCOTT,Adams,IA,2
491,50860,REDDING,Ringgold,IA,80
492,50861,SHANNON CITY,Union,IA,88
493,50862,SHARPSBURG,Taylor,IA,87
494,50863,TINGLEY,Ringgold,IA,80
495,50864,VILLISCA,Montgomery,IA,69
496,50936,DES MOINES,Polk,IA,77
497,50940,DES MOINES,Polk,IA,77
498,50947,DES MOINES,Polk,IA,77
499,50950,DES MOINES,Polk,IA,77
500,50980,DES MOINES,Polk,IA,77
501,50981,DES MOINES,Polk,IA,77
502,50982,DES MOINES,Polk,IA,77
503,50983,DES MOINES,Polk,IA,77
504,51001,AKRON,Plymouth,IA,75
505,51002,ALTA,Buena Vista,IA,11
506,51003,ALTON,Sioux,IA,84
507,51004,ANTHON,Woodbury,IA,97
508,51005,AURELIA,Cherokee,IA,18
509,51006,BATTLE CREEK,Ida,IA,47
510,51007,BRONSON,Woodbury,IA,97
511,51008,BRUNSVILLE,Plymouth,IA,75
512,51009,CALUMET,Obrien,IA,71
513,51010,CASTANA,Monona,IA,67
514,51011,CHATSWORTH,Sioux,IA,84
515,51012,CHEROKEE,Cherokee,IA,18
516,51014,CLEGHORN,Cherokee,IA,18
517,51015,CLIMBING HILL,Woodbury,IA,97
518,51016,CORRECTIONVILLE,Woodbury,IA,97
519,51018,CUSHING,Woodbury,IA,97
520,51019,DANBURY,Woodbury,IA,97
521,51020,GALVA,Ida,IA,47
522,51022,GRANVILLE,Sioux,IA,84
523,51023,HAWARDEN,Sioux,IA,84
524,51024,HINTON,Plymouth,IA,75
525,51025,HOLSTEIN,Ida,IA,47
526,51026,HORNICK,Woodbury,IA,97
527,51027,IRETON,Sioux,IA,84
528,51028,KINGSLEY,Plymouth,IA,75
529,51029,LARRABEE,Cherokee,IA,18
530,51030,LAWTON,Woodbury,IA,97
531,51031,LE MARS,Plymouth,IA,75
532,51033,LINN GROVE,Buena Vista,IA,11
533,51034,MAPLETON,Monona,IA,67
534,51035,MARCUS,Cherokee,IA,18
535,51036,MAURICE,Sioux,IA,84
536,51037,MERIDEN,Cherokee,IA,18
537,51038,MERRILL,Plymouth,IA,75
538,51039,MOVILLE,Woodbury,IA,97
539,51040,ONAWA,Monona,IA,67
540,51041,ORANGE CITY,Sioux,IA,84
541,51044,OTO,Woodbury,IA,97
542,51045,OYENS,Plymouth,IA,75
543,51046,PAULLINA,Obrien,IA,71
544,51047,PETERSON,Clay,IA,21
545,51048,PIERSON,Woodbury,IA,97
546,51049,QUIMBY,Cherokee,IA,18
547,51050,REMSEN,Plymouth,IA,75
548,51051,RODNEY,Monona,IA,67
549,51052,SALIX,Woodbury,IA,97
550,51053,SCHALLER,Sac,IA,81
551,51054,SERGEANT BLUFF,Woodbury,IA,97
552,51055,SLOAN,Woodbury,IA,97
553,51056,SMITHLAND,Woodbury,IA,97
554,51058,SUTHERLAND,Obrien,IA,71
555,51060,UTE,Monona,IA,67
556,51061,WASHTA,Cherokee,IA,18
557,51062,WESTFIELD,Plymouth,IA,75
558,51063,WHITING,Monona,IA,67
559,51101,SIOUX CITY,Woodbury,IA,97
560,51102,SIOUX CITY,Woodbury,IA,97
561,51103,SIOUX CITY,Woodbury,IA,97
562,51104,SIOUX CITY,Woodbury,IA,97
563,51105,SIOUX CITY,Woodbury,IA,97
564,51106,SIOUX CITY,Woodbury,IA,97
565,51108,SIOUX CITY,Woodbury,IA,97
566,51109,SIOUX CITY,Woodbury,IA,97
567,51111,SIOUX CITY,Woodbury,IA,97
568,51201,SHELDON,Obrien,IA,71
569,51230,ALVORD,Lyon,IA,60
570,51231,ARCHER,Obrien,IA,71
571,51232,ASHTON,Osceola,IA,72
572,51234,BOYDEN,Sioux,IA,84
573,51235,DOON,Lyon,IA,60
574,51237,GEORGE,Lyon,IA,60
575,51238,HOSPERS,Sioux,IA,84
576,51239,HULL,Sioux,IA,84
577,51240,INWOOD,Lyon,IA,60
578,51241,LARCHWOOD,Lyon,IA,60
579,51242,LESTER,Lyon,IA,60
580,51243,LITTLE ROCK,Lyon,IA,60
581,51244,MATLOCK,Sioux,IA,84
582,51245,PRIMGHAR,Obrien,IA,71
583,51246,ROCK RAPIDS,Lyon,IA,60
584,51247,ROCK VALLEY,Sioux,IA,84
585,51248,SANBORN,Obrien,IA,71
586,51249,SIBLEY,Osceola,IA,72
587,51250,SIOUX CENTER,Sioux,IA,84
588,51301,SPENCER,Clay,IA,21
589,51331,ARNOLDS PARK,Dickinson,IA,30
590,51333,DICKENS,Clay,IA,21
591,51334,ESTHERVILLE,Emmet,IA,32
592,51338,EVERLY,Clay,IA,21
593,51340,FOSTORIA,Clay,IA,21
594,51341,GILLETT GROVE,Clay,IA,21
595,51342,GRAETTINGER,Palo Alto,IA,74
596,51343,GREENVILLE,Clay,IA,21
597,51344,GRUVER,Emmet,IA,32
598,51345,HARRIS,Osceola,IA,72
599,51346,HARTLEY,Obrien,IA,71
600,51347,LAKE PARK,Dickinson,IA,30
601,51350,MELVIN,Osceola,IA,72
602,51351,MILFORD,Dickinson,IA,30
603,51354,OCHEYEDAN,Osceola,IA,72
604,51355,OKOBOJI,Dickinson,IA,30
605,51357,ROYAL,Clay,IA,21
606,51358,RUTHVEN,Palo Alto,IA,74
607,51360,SPIRIT LAKE,Dickinson,IA,30
608,51363,SUPERIOR,Dickinson,IA,30
609,51364,TERRIL,Dickinson,IA,30
610,51365,WALLINGFORD,Emmet,IA,32
611,51366,WEBB,Clay,IA,21
612,51401,CARROLL,Carroll,IA,14
613,51430,ARCADIA,Carroll,IA,14
614,51431,ARTHUR,Ida,IA,47
615,51432,ASPINWALL,Crawford,IA,24
616,51433,AUBURN,Sac,IA,81
617,51436,BREDA,Carroll,IA,14
618,51439,CHARTER OAK,Crawford,IA,24
619,51440,DEDHAM,Carroll,IA,14
620,51441,DELOIT,Crawford,IA,24
621,51442,DENISON,Crawford,IA,24
622,51443,GLIDDEN,Carroll,IA,14
623,51444,HALBUR,Carroll,IA,14
624,51445,IDA GROVE,Ida,IA,47
625,51446,IRWIN,Shelby,IA,83
626,51447,KIRKMAN,Shelby,IA,83
627,51448,KIRON,Crawford,IA,24
628,51449,LAKE CITY,Calhoun,IA,13
629,51450,LAKE VIEW,Sac,IA,81
630,51451,LANESBORO,Carroll,IA,14
631,51452,LIDDERDALE,Carroll,IA,14
632,51453,LOHRVILLE,Calhoun,IA,13
633,51454,MANILLA,Crawford,IA,24
634,51455,MANNING,Carroll,IA,14
635,51458,ODEBOLT,Sac,IA,81
636,51459,RALSTON,Carroll,IA,14
637,51460,RICKETTS,Crawford,IA,24
638,51461,SCHLESWIG,Crawford,IA,24
639,51462,SCRANTON,Greene,IA,37
640,51463,TEMPLETON,Carroll,IA,14
641,51465,VAIL,Crawford,IA,24
642,51466,WALL LAKE,Sac,IA,81
643,51467,WESTSIDE,Crawford,IA,24
644,51501,COUNCIL BLUFFS,Pottawattamie,IA,78
645,51502,COUNCIL BLUFFS,Pottawattamie,IA,78
646,51503,COUNCIL BLUFFS,Pottawattamie,IA,78
647,51510,CARTER LAKE,Pottawattamie,IA,78
648,51520,ARION,Crawford,IA,24
649,51521,AVOCA,Pottawattamie,IA,78
650,51523,BLENCOE,Monona,IA,67
651,51525,CARSON,Pottawattamie,IA,78
652,51526,CRESCENT,Pottawattamie,IA,78
653,51527,DEFIANCE,Shelby,IA,83
654,51528,DOW CITY,Crawford,IA,24
655,51529,DUNLAP,Harrison,IA,43
656,51530,EARLING,Shelby,IA,83
657,51531,ELK HORN,Shelby,IA,83
658,51532,ELLIOTT,Montgomery,IA,69
659,51533,EMERSON,Mills,IA,65
660,51534,GLENWOOD,Mills,IA,65
661,51535,GRISWOLD,Cass,IA,15
662,51536,HANCOCK,Pottawattamie,IA,78
663,51537,HARLAN,Shelby,IA,83
664,51540,HASTINGS,Mills,IA,65
665,51541,HENDERSON,Mills,IA,65
666,51542,HONEY CREEK,Pottawattamie,IA,78
667,51543,KIMBALLTON,Audubon,IA,5
668,51544,LEWIS,Cass,IA,15
669,51545,LITTLE SIOUX,Harrison,IA,43
670,51546,LOGAN,Harrison,IA,43
671,51548,MC CLELLAND,Pottawattamie,IA,78
672,51549,MACEDONIA,Pottawattamie,IA,78
673,51550,MAGNOLIA,Harrison,IA,43
674,51551,MALVERN,Mills,IA,65
675,51552,MARNE,Cass,IA,15
676,51553,MINDEN,Pottawattamie,IA,78
677,51554,MINEOLA,Mills,IA,65
678,51555,MISSOURI VALLEY,Harrison,IA,43
679,51556,MODALE,Harrison,IA,43
680,51557,MONDAMIN,Harrison,IA,43
681,51558,MOORHEAD,Monona,IA,67
682,51559,NEOLA,Pottawattamie,IA,78
683,51560,OAKLAND,Pottawattamie,IA,78
684,51561,PACIFIC JUNCTION,Mills,IA,65
685,51562,PANAMA,Shelby,IA,83
686,51563,PERSIA,Harrison,IA,43
687,51564,PISGAH,Harrison,IA,43
688,51565,PORTSMOUTH,Shelby,IA,83
689,51566,RED OAK,Montgomery,IA,69
690,51570,SHELBY,Shelby,IA,83
691,51571,SILVER CITY,Mills,IA,65
692,51572,SOLDIER,Monona,IA,67
693,51573,STANTON,Montgomery,IA,69
694,51575,TREYNOR,Pottawattamie,IA,78
695,51576,UNDERWOOD,Pottawattamie,IA,78
696,51577,WALNUT,Pottawattamie,IA,78
697,51578,WESTPHALIA,Shelby,IA,83
698,51579,WOODBINE,Harrison,IA,43
699,51591,RED OAK,Montgomery,IA,69
700,51593,HARLAN,Shelby,IA,83
701,51601,SHENANDOAH,Page,IA,73
702,51602,SHENANDOAH,Page,IA,73
703,51603,SHENANDOAH,Page,IA,73
704,51630,BLANCHARD,Page,IA,73
705,51631,BRADDYVILLE,Page,IA,73
706,51632,CLARINDA,Page,IA,73
707,51636,COIN,Page,IA,73
708,51637,COLLEGE SPRINGS,Page,IA,73
709,51638,ESSEX,Page,IA,73
710,51639,FARRAGUT,Fremont,IA,36
711,51640,HAMBURG,Fremont,IA,36
712,51645,IMOGENE,Fremont,IA,36
713,51646,NEW MARKET,Taylor,IA,87
714,51647,NORTHBORO,Page,IA,73
715,51648,PERCIVAL,Fremont,IA,36
716,51649,RANDOLPH,Fremont,IA,36
717,51650,RIVERTON,Fremont,IA,36
718,51651,SHAMBAUGH,Page,IA,73
719,51652,SIDNEY,Fremont,IA,36
720,51653,TABOR,Fremont,IA,36
721,51654,THURMAN,Fremont,IA,36
722,51656,YORKTOWN,Page,IA,73
723,52001,DUBUQUE,Dubuque,IA,31
724,52002,DUBUQUE,Dubuque,IA,31
725,52003,DUBUQUE,Dubuque,IA,31
726,52004,DUBUQUE,Dubuque,IA,31
727,52030,ANDREW,Jackson,IA,49
728,52031,BELLEVUE,Jackson,IA,49
729,52032,BERNARD,Jackson,IA,49
730,52033,CASCADE,Jones,IA,53
731,52035,COLESBURG,Clayton,IA,22
732,52036,DELAWARE,Delaware,IA,28
733,52037,DELMAR,Clinton,IA,23
734,52038,DUNDEE,Delaware,IA,28
735,52039,DURANGO,Dubuque,IA,31
736,52040,DYERSVILLE,Dubuque,IA,31
737,52041,EARLVILLE,Delaware,IA,28
738,52042,EDGEWOOD,Clayton,IA,22
739,52043,ELKADER,Clayton,IA,22
740,52044,ELKPORT,Clayton,IA,22
