,zip,primary_city,county,state,County#
1052,52776,WEST LIBERTY,Muscatine,IA,70
1053,52777,WHEATLAND,Clinton,IA,23
1054,52778,WILTON,Muscatine,IA,70
1055,52801,DAVENPORT,Scott,IA,82
1056,52802,DAVENPORT,Scott,IA,82
1057,52803,DAVENPORT,Scott,IA,82
1058,52804,DAVENPORT,Scott,IA,82
1059,52805,DAVENPORT,Scott,IA,82
1060,52806,DAVENPORT,Scott,IA,82
1061,52807,DAVENPORT,Scott,IA,82
1062,52808,DAVENPORT,Scott,IA,82
1063,52809,DAVENPORT,Scott,IA,82
