,Store Number,Zip Code,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters)
325,2845,51503,2015,270,3670.56,279.0
326,2845,51503,2016,30,536.88,34.5
327,2846,52404,2015,595,7393.12,705.87
328,2846,52404,2016,117,1684.0,126.62
329,2847,52302,2015,232,3106.47,312.0
330,2847,52302,2016,55,882.08,65.25
331,2849,50320,2015,171,2413.8,169.14
332,2849,50320,2016,30,495.84,34.5
333,2850,50313,2015,332,4111.51,307.25
334,2850,50313,2016,63,683.55,53.25
335,2851,50501,2015,285,3928.72,341.5
336,2851,50501,2016,47,765.61,52.25
337,2852,50310,2015,438,6190.65,477.5
338,2852,50310,2016,189,2673.52,167.5
339,2853,50014,2015,240,4100.43,251.25
340,2853,50014,2016,168,2744.26,212.0
341,2854,50323,2015,88,1360.56,112.0
342,2854,50323,2016,28,448.17,18.75
343,2951,50322,2015,169,1529.4,126.0
344,2953,50316,2015,506,3758.06,373.56
345,2955,50310,2015,563,5796.19,490.5
346,2958,50317,2015,191,1814.86,187.7
347,2959,50310,2015,724,8619.44,674.0
348,2961,50265,2015,38,592.58,28.0
349,2962,50131,2015,312,4239.01,362.0
350,2963,50325,2015,312,4478.6,273.75
351,3013,52537,2015,869,11152.82,902.75
352,3013,52537,2016,184,2044.7,174.0
353,3041,50054,2015,782,8266.29,783.98
354,3041,50054,2016,190,1852.32,182.75
355,3045,50423,2015,724,9200.93,942.5
356,3045,50423,2016,125,1538.62,154.0
357,3054,50112,2015,777,12569.81,733.39
358,3054,50112,2016,101,1713.0,90.0
359,3056,50525,2015,527,7059.64,588.25
360,3056,50525,2016,112,1402.46,119.25
361,3065,50171,2015,591,7227.66,621.0
362,3065,50171,2016,102,1565.13,104.25
363,3162,52761,2015,2031,21519.65,2055.0
364,3162,52761,2016,449,4900.64,470.75
365,3354,52807,2015,13731,240153.72,16502.25
366,3354,52807,2016,4212,54885.48,4764.0
367,3385,52402,2015,27283,439584.35,31423.0
368,3385,52402,2016,4368,64472.88,4659.0
369,3390,51351,2015,9481,134738.33,9739.56
370,3390,51351,2016,1233,16669.54,1360.56
371,3393,50466,2015,183,2334.69,199.5
372,3393,50466,2016,36,519.54,58.5
373,3400,50317,2015,4823,40290.75,2658.62
374,3400,50317,2016,1136,8562.12,599.4
375,3403,52738,2015,847,9874.08,671.65
376,3403,52738,2016,163,1796.13,136.37
377,3417,52301,2015,2162,31323.68,2655.5
378,3417,52301,2016,550,9450.35,683.88
379,3420,50311,2015,20778,348837.36,25075.5
380,3420,50311,2016,2868,49187.88,3477.0
381,3437,50211,2015,1723,20389.68,1737.0
382,3440,50309,2015,273,969.71,85.95
383,3443,51503,2015,4210,53834.76,4258.46
384,3443,51503,2016,688,7665.01,698.52
385,3447,51106,2015,11005,187650.04,13082.5
386,3447,51106,2016,3996,74874.12,5151.0
387,3451,52742,2015,525,6950.28,748.5
388,3456,50428,2015,5078,69189.36,4788.19
389,3456,50428,2016,955,11593.45,890.33
390,3461,50250,2015,1037,11754.24,1095.29
391,3461,50250,2016,305,3686.68,310.87
392,3465,50216,2015,816,10693.32,917.5
