,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
1212,50702,31,4265,2015,3555,25209.6,1399.49,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1214,50702,31,4471,2015,319,2940.22,212.01,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1216,50702,31,4910,2015,1720,13182.17,714.82,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1218,50702,31,4978,2015,942,9250.67,571.95,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1220,50702,31,4980,2015,204,1864.14,141.75,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1222,50702,31,5033,2015,83,827.9,41.85,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1223,50702,31,5043,2015,2413,14515.63,1007.72,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1225,50702,31,5116,2015,1610,13278.17,885.4,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1227,50702,31,5152,2015,68,520.74,26.0,50702,19299.0,33745.0,17383.0,17619.0,866.0,27.0,185.0,9.0,152.0,441.0,342.0,37.8,1311.0,2995.0,794.0,1155.0,2712.0,2547.0,2331.0,770.0,713.0,1605.0,1558.0,808.0,61.5,4837.0,65300.0,8354.0,5226.0,2878.0,8104.0,4954.0,3833.0,857.0,3150.0,2614.0,2.28,2.89,19146.0,84.9,20.3,8745.0,14199.0,282.096774194,458.032258065
1229,50703,30,2130,2015,7430,111871.43,6891.37,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1231,50703,30,2571,2015,6764,80618.12,5823.65,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1233,50703,30,2836,2015,171,2330.58,206.37,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1235,50703,30,4077,2015,2328,16559.96,785.5,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1237,50703,30,4085,2015,646,3332.56,186.7,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1238,50703,30,4214,2015,4138,23850.46,1483.08,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1240,50703,30,4470,2015,191,1954.95,170.24,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1242,50703,30,4502,2015,2194,12070.3,781.8,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1244,50703,30,4648,2015,5336,48383.45,1983.87,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1246,50703,30,4759,2015,147,1621.08,164.25,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1248,50703,30,4900,2015,2165,14796.63,801.63,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1250,50703,30,4902,2015,1734,10655.42,570.93,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1252,50703,30,4935,2015,5988,28466.11,1706.66,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1254,50703,30,5063,2015,4594,25038.56,1384.34,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1256,50703,30,5113,2015,2022,11490.03,645.47,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1258,50703,30,5139,2015,144,1320.48,41.7,50703,20978.0,28096.0,14463.0,13029.0,6888.0,63.0,63.0,18.0,451.0,466.0,775.0,34.2,1509.0,4495.0,931.0,1152.0,2590.0,3119.0,2751.0,899.0,832.0,1468.0,930.0,302.0,60.5,4788.0,43300.0,8641.0,5386.0,2615.0,8001.0,5271.0,3198.0,1672.0,2730.0,2256.0,2.56,3.12,20383.0,76.1,8.1,9612.0,14043.0,320.4,468.1
1259,50707,12,4153,2015,919,11324.86,847.0,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1261,50707,12,4222,2015,1378,9310.6,778.34,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1263,50707,12,4223,2015,1220,9075.6,725.8,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1265,50707,12,4561,2015,176,3116.4,168.75,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1267,50707,12,4647,2015,1394,6430.7,509.67,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1269,50707,12,4840,2015,1027,7856.09,400.45,50707,8155.0,32705.0,15105.0,7128.0,653.0,28.0,75.0,5.0,105.0,161.0,213.0,35.7,592.0,1590.0,331.0,430.0,1062.0,1206.0,1230.0,364.0,324.0,592.0,363.0,71.0,63.5,2118.0,61300.0,3332.0,2368.0,823.0,3191.0,2258.0,1654.0,450.0,933.0,745.0,2.55,2.98,8209.0,77.4,6.9,3928.0,5642.0,327.333333333,470.166666667
1271,50801,10,2553,2015,1980,26164.9,1885.08,50801,9115.0,31659.0,17119.0,8953.0,28.0,25.0,27.0,0.0,29.0,53.0,98.0,39.6,558.0,1570.0,498.0,380.0,951.0,1332.0,1250.0,463.0,394.0,732.0,698.0,289.0,66.0,2225.0,58800.0,4218.0,2722.0,1204.0,3926.0,2433.0,1974.0,355.0,1493.0,1300.0,2.26,2.88,8992.0,87.6,15.3,3913.0,6489.0,391.3,648.9
1273,50801,10,3830,2015,2016,31623.3,2367.0,50801,9115.0,31659.0,17119.0,8953.0,28.0,25.0,27.0,0.0,29.0,53.0,98.0,39.6,558.0,1570.0,498.0,380.0,951.0,1332.0,1250.0,463.0,394.0,732.0,698.0,289.0,66.0,2225.0,58800.0,4218.0,2722.0,1204.0,3926.0,2433.0,1974.0,355.0,1493.0,1300.0,2.26,2.88,8992.0,87.6,15.3,3913.0,6489.0,391.3,648.9
1275,50801,10,4291,2015,1626,25211.94,1645.5,50801,9115.0,31659.0,17119.0,8953.0,28.0,25.0,27.0,0.0,29.0,53.0,98.0,39.6,558.0,1570.0,498.0,380.0,951.0,1332.0,1250.0,463.0,394.0,732.0,698.0,289.0,66.0,2225.0,58800.0,4218.0,2722.0,1204.0,3926.0,2433.0,1974.0,355.0,1493.0,1300.0,2.26,2.88,8992.0,87.6,15.3,3913.0,6489.0,391.3,648.9
1277,50801,10,4823,2015,237,2267.58,185.25,50801,9115.0,31659.0,17119.0,8953.0,28.0,25.0,27.0,0.0,29.0,53.0,98.0,39.6,558.0,1570.0,498.0,380.0,951.0,1332.0,1250.0,463.0,394.0,732.0,698.0,289.0,66.0,2225.0,58800.0,4218.0,2722.0,1204.0,3926.0,2433.0,1974.0,355.0,1493.0,1300.0,2.26,2.88,8992.0,87.6,15.3,3913.0,6489.0,391.3,648.9
1279,50801,10,4824,2015,407,3972.64,256.7,50801,9115.0,31659.0,17119.0,8953.0,28.0,25.0,27.0,0.0,29.0,53.0,98.0,39.6,558.0,1570.0,498.0,380.0,951.0,1332.0,1250.0,463.0,394.0,732.0,698.0,289.0,66.0,2225.0,58800.0,4218.0,2722.0,1204.0,3926.0,2433.0,1974.0,355.0,1493.0,1300.0,2.26,2.88,8992.0,87.6,15.3,3913.0,6489.0,391.3,648.9
1281,50830,2,4531,2015,228,2723.76,214.5,50830,1824.0,35313.0,15624.0,1809.0,0.0,1.0,0.0,0.0,8.0,6.0,18.0,41.8,104.0,331.0,57.0,67.0,184.0,272.0,280.0,103.0,84.0,168.0,117.0,57.0,67.3,370.0,47700.0,769.0,564.0,159.0,723.0,523.0,456.0,45.0,200.0,177.0,2.44,2.88,1788.0,87.5,16.0,803.0,1332.0,401.5,666.0
1283,50833,2,2657,2015,458,6130.51,466.28,50833,2653.0,32161.0,15577.0,2611.0,1.0,5.0,3.0,3.0,16.0,14.0,34.0,41.1,149.0,511.0,102.0,79.0,246.0,397.0,304.0,144.0,116.0,273.0,220.0,112.0,62.8,579.0,39300.0,1217.0,831.0,245.0,1076.0,732.0,637.0,72.0,344.0,295.0,2.42,2.98,2598.0,86.7,14.0,1026.0,1891.0,513.0,945.5
1285,50841,2,2327,2015,754,10245.14,822.28,50841,3100.0,29947.0,16130.0,3073.0,3.0,7.0,6.0,0.0,2.0,9.0,23.0,42.4,163.0,561.0,95.0,111.0,283.0,458.0,383.0,150.0,165.0,332.0,291.0,108.0,65.1,646.0,51800.0,1472.0,958.0,348.0,1306.0,822.0,708.0,75.0,484.0,432.0,2.28,2.92,2947.0,82.8,12.7,1235.0,2281.0,617.5,1140.5
1287,50846,2,4620,2015,421,6495.09,480.75,50846,1276.0,32227.0,16309.0,1260.0,2.0,1.0,2.0,0.0,0.0,11.0,10.0,42.8,73.0,234.0,36.0,48.0,115.0,183.0,141.0,56.0,68.0,123.0,134.0,65.0,62.4,258.0,48000.0,567.0,404.0,118.0,522.0,355.0,316.0,26.0,167.0,153.0,2.35,2.9,1184.0,84.3,7.9,487.0,933.0,243.5,466.5
1289,50849,5,3969,2015,136,1393.94,86.85,50849,2968.0,36947.0,19300.0,2949.0,1.0,0.0,8.0,0.0,4.0,6.0,9.0,41.8,141.0,567.0,98.0,93.0,257.0,470.0,353.0,149.0,156.0,294.0,244.0,146.0,67.3,711.0,63300.0,1326.0,925.0,314.0,1239.0,832.0,716.0,77.0,407.0,360.0,2.34,2.88,2849.0,89.9,9.8,1173.0,2162.0,234.6,432.4
1290,50849,5,4317,2015,777,9983.13,830.5,50849,2968.0,36947.0,19300.0,2949.0,1.0,0.0,8.0,0.0,4.0,6.0,9.0,41.8,141.0,567.0,98.0,93.0,257.0,470.0,353.0,149.0,156.0,294.0,244.0,146.0,67.3,711.0,63300.0,1326.0,925.0,314.0,1239.0,832.0,716.0,77.0,407.0,360.0,2.34,2.88,2849.0,89.9,9.8,1173.0,2162.0,234.6,432.4
1292,50849,5,5052,2015,294,2310.3,170.85,50849,2968.0,36947.0,19300.0,2949.0,1.0,0.0,8.0,0.0,4.0,6.0,9.0,41.8,141.0,567.0,98.0,93.0,257.0,470.0,353.0,149.0,156.0,294.0,244.0,146.0,67.3,711.0,63300.0,1326.0,925.0,314.0,1239.0,832.0,716.0,77.0,407.0,360.0,2.34,2.88,2849.0,89.9,9.8,1173.0,2162.0,234.6,432.4
1294,50851,3,3761,2015,150,1890.37,146.5,50851,2289.0,31488.0,14212.0,2212.0,0.0,0.0,11.0,0.0,47.0,19.0,203.0,41.8,137.0,397.0,94.0,83.0,230.0,310.0,308.0,123.0,110.0,211.0,186.0,100.0,61.4,429.0,47900.0,1000.0,639.0,264.0,903.0,608.0,544.0,35.0,295.0,257.0,2.43,2.99,2180.0,79.1,12.4,931.0,1661.0,310.333333333,553.666666667
1295,50851,3,5110,2015,328,3745.01,285.5,50851,2289.0,31488.0,14212.0,2212.0,0.0,0.0,11.0,0.0,47.0,19.0,203.0,41.8,137.0,397.0,94.0,83.0,230.0,310.0,308.0,123.0,110.0,211.0,186.0,100.0,61.4,429.0,47900.0,1000.0,639.0,264.0,903.0,608.0,544.0,35.0,295.0,257.0,2.43,2.99,2180.0,79.1,12.4,931.0,1661.0,310.333333333,553.666666667
1297,50854,6,2658,2015,334,4328.83,390.0,50854,2325.0,29318.0,15268.0,2301.0,3.0,5.0,6.0,0.0,1.0,9.0,8.0,44.8,122.0,405.0,65.0,90.0,190.0,297.0,274.0,89.0,116.0,266.0,255.0,156.0,53.9,479.0,51700.0,1088.0,680.0,273.0,953.0,626.0,536.0,60.0,327.0,305.0,2.28,2.85,2125.0,81.1,14.0,851.0,1733.0,141.833333333,288.833333333
1299,50854,6,3813,2015,627,9506.28,814.65,50854,2325.0,29318.0,15268.0,2301.0,3.0,5.0,6.0,0.0,1.0,9.0,8.0,44.8,122.0,405.0,65.0,90.0,190.0,297.0,274.0,89.0,116.0,266.0,255.0,156.0,53.9,479.0,51700.0,1088.0,680.0,273.0,953.0,626.0,536.0,60.0,327.0,305.0,2.28,2.85,2125.0,81.1,14.0,851.0,1733.0,141.833333333,288.833333333
1301,50854,6,4779,2015,114,1670.34,100.5,50854,2325.0,29318.0,15268.0,2301.0,3.0,5.0,6.0,0.0,1.0,9.0,8.0,44.8,122.0,405.0,65.0,90.0,190.0,297.0,274.0,89.0,116.0,266.0,255.0,156.0,53.9,479.0,51700.0,1088.0,680.0,273.0,953.0,626.0,536.0,60.0,327.0,305.0,2.28,2.85,2125.0,81.1,14.0,851.0,1733.0,141.833333333,288.833333333
1303,50864,2,4325,2015,101,1020.5,81.75,50864,2288.0,31400.0,15601.0,2268.0,2.0,4.0,1.0,0.0,5.0,8.0,10.0,41.3,122.0,465.0,68.0,74.0,208.0,339.0,287.0,115.0,108.0,231.0,193.0,78.0,60.9,466.0,40300.0,1035.0,739.0,197.0,936.0,626.0,522.0,69.0,310.0,272.0,2.38,2.93,2249.0,81.4,11.9,908.0,1633.0,454.0,816.5
1305,51001,2,4525,2015,417,4315.29,343.38,51001,2260.0,35867.0,20334.0,2232.0,6.0,2.0,1.0,0.0,4.0,15.0,14.0,40.7,118.0,455.0,82.0,86.0,230.0,316.0,292.0,116.0,90.0,249.0,171.0,55.0,63.5,556.0,74400.0,992.0,708.0,226.0,934.0,649.0,565.0,53.0,285.0,264.0,2.42,2.96,2204.0,85.1,14.2,924.0,1605.0,462.0,802.5
1307,51002,2,4982,2015,171,1731.36,143.25,51002,2886.0,34889.0,16882.0,2718.0,13.0,1.0,29.0,1.0,95.0,29.0,222.0,37.2,165.0,684.0,87.0,96.0,319.0,473.0,361.0,135.0,113.0,222.0,181.0,50.0,68.1,634.0,74900.0,1199.0,825.0,283.0,1108.0,803.0,675.0,85.0,305.0,266.0,2.57,3.04,2878.0,90.6,20.0,1249.0,1950.0,624.5,975.0
1309,51004,2,4008,2015,808,9452.11,769.93,51004,1174.0,32750.0,19793.0,1160.0,1.0,1.0,1.0,0.0,2.0,9.0,14.0,41.0,70.0,239.0,33.0,32.0,107.0,189.0,152.0,60.0,56.0,111.0,86.0,39.0,62.8,239.0,54000.0,532.0,386.0,101.0,487.0,330.0,279.0,31.0,157.0,146.0,2.41,2.99,1153.0,81.2,15.6,480.0,832.0,240.0,416.0
1311,51005,2,4923,2015,138,1502.82,139.5,51005,1684.0,37697.0,16914.0,1672.0,1.0,0.0,2.0,0.0,8.0,1.0,13.0,41.7,104.0,328.0,56.0,53.0,133.0,277.0,198.0,67.0,79.0,192.0,128.0,69.0,64.7,395.0,61800.0,710.0,510.0,141.0,651.0,477.0,430.0,31.0,174.0,154.0,2.49,2.97,1628.0,89.2,19.4,661.0,1196.0,330.5,598.0
1313,51012,9,2597,2015,1584,18779.1,1608.95,51012,6596.0,33444.0,18571.0,6440.0,32.0,15.0,38.0,0.0,33.0,38.0,91.0,42.1,341.0,1217.0,241.0,223.0,597.0,967.0,998.0,360.0,313.0,629.0,513.0,197.0,65.4,1684.0,56800.0,3053.0,1999.0,837.0,2836.0,1767.0,1453.0,226.0,1069.0,961.0,2.23,2.84,6328.0,86.1,15.0,2785.0,4797.0,309.444444444,533.0
1315,51012,9,3529,2015,452,5886.54,399.91,51012,6596.0,33444.0,18571.0,6440.0,32.0,15.0,38.0,0.0,33.0,38.0,91.0,42.1,341.0,1217.0,241.0,223.0,597.0,967.0,998.0,360.0,313.0,629.0,513.0,197.0,65.4,1684.0,56800.0,3053.0,1999.0,837.0,2836.0,1767.0,1453.0,226.0,1069.0,961.0,2.23,2.84,6328.0,86.1,15.0,2785.0,4797.0,309.444444444,533.0
1316,51012,9,3989,2015,1519,14416.42,1055.21,51012,6596.0,33444.0,18571.0,6440.0,32.0,15.0,38.0,0.0,33.0,38.0,91.0,42.1,341.0,1217.0,241.0,223.0,597.0,967.0,998.0,360.0,313.0,629.0,513.0,197.0,65.4,1684.0,56800.0,3053.0,1999.0,837.0,2836.0,1767.0,1453.0,226.0,1069.0,961.0,2.23,2.84,6328.0,86.1,15.0,2785.0,4797.0,309.444444444,533.0
1318,51012,9,4310,2015,693,10640.49,801.25,51012,6596.0,33444.0,18571.0,6440.0,32.0,15.0,38.0,0.0,33.0,38.0,91.0,42.1,341.0,1217.0,241.0,223.0,597.0,967.0,998.0,360.0,313.0,629.0,513.0,197.0,65.4,1684.0,56800.0,3053.0,1999.0,837.0,2836.0,1767.0,1453.0,226.0,1069.0,961.0,2.23,2.84,6328.0,86.1,15.0,2785.0,4797.0,309.444444444,533.0
1320,51012,9,5140,2015,1348,16685.52,1352.2,51012,6596.0,33444.0,18571.0,6440.0,32.0,15.0,38.0,0.0,33.0,38.0,91.0,42.1,341.0,1217.0,241.0,223.0,597.0,967.0,998.0,360.0,313.0,629.0,513.0,197.0,65.4,1684.0,56800.0,3053.0,1999.0,837.0,2836.0,1767.0,1453.0,226.0,1069.0,961.0,2.23,2.84,6328.0,86.1,15.0,2785.0,4797.0,309.444444444,533.0
1322,51023,2,3763,2015,1045,13500.68,1062.24,51023,3033.0,36065.0,17832.0,2879.0,8.0,14.0,7.0,0.0,92.0,33.0,164.0,39.8,164.0,613.0,111.0,119.0,319.0,422.0,415.0,158.0,131.0,282.0,217.0,82.0,65.7,755.0,61200.0,1309.0,934.0,297.0,1231.0,821.0,703.0,82.0,410.0,358.0,2.41,2.98,2934.0,77.3,15.0,1275.0,2145.0,637.5,1072.5
