,Zip Code,Stores per Zip,Store Number,Year,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,21-54 years,21+ years,P21-54/Stores/Zip,P21+/Stores/Zip
49,50010,42,4129,2015,3745,68035.93,3370.91,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
51,50010,42,4436,2015,845,9496.7,750.95,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
53,50010,42,4437,2015,457,4715.8,382.92,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
55,50010,42,4438,2015,529,4877.49,351.67,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
57,50010,42,4509,2015,4371,58422.19,3904.62,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
59,50010,42,4656,2015,226,2252.66,170.42,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
61,50010,42,4674,2015,656,7061.26,482.83,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
63,50010,42,4675,2015,373,4080.09,259.41,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
65,50010,42,4709,2015,399,5532.84,368.25,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
67,50010,42,4960,2015,503,4769.37,493.5,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
69,50010,42,4987,2015,336,3417.01,252.49,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
71,50010,42,5187,2015,462,4239.11,218.31,50010,24991.0,37511.0,21678.0,22020.0,619.0,42.0,1810.0,11.0,135.0,354.0,433.0,31.2,1517.0,3453.0,1263.0,3314.0,4316.0,3259.0,3103.0,982.0,858.0,1480.0,1037.0,409.0,72.5,4859.0,125300.0,11234.0,5913.0,4884.0,10797.0,6167.0,5259.0,652.0,4630.0,3097.0,2.27,2.83,24707.0,94.0,53.1,13992.0,18758.0,333.142857143,446.619047619
73,50014,7,2853,2015,240,4100.43,251.25,50014,29541.0,37289.0,18236.0,25954.0,744.0,45.0,2136.0,11.0,271.0,380.0,633.0,21.9,902.0,2506.0,8501.0,7570.0,3213.0,2214.0,2095.0,719.0,510.0,686.0,435.0,190.0,67.4,3125.0,159100.0,9049.0,3663.0,5073.0,8736.0,3905.0,3340.0,364.0,4831.0,2324.0,2.39,2.92,21131.0,96.8,63.8,15092.0,17632.0,2156.0,2518.85714286
75,50014,7,3973,2015,1281,14837.35,1259.75,50014,29541.0,37289.0,18236.0,25954.0,744.0,45.0,2136.0,11.0,271.0,380.0,633.0,21.9,902.0,2506.0,8501.0,7570.0,3213.0,2214.0,2095.0,719.0,510.0,686.0,435.0,190.0,67.4,3125.0,159100.0,9049.0,3663.0,5073.0,8736.0,3905.0,3340.0,364.0,4831.0,2324.0,2.39,2.92,21131.0,96.8,63.8,15092.0,17632.0,2156.0,2518.85714286
