Area,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+
50142,910,"39,000","16,365",890,3,4,3,0,3,7,17,36.0,67,185,43,26,115,126,136,57,32,67,43,13,70.9%,251,"$67,500",370,287,65,352,269,221,42,83,74,2.59,2.99,916,91.7%,15.1%
50143,613,"40,625","15,722",607,0,0,1,0,1,4,1,34.3,54,141,14,22,89,80,73,41,28,47,17,7,74.0%,99,"$82,900",235,172,41,213,180,166,4,33,27,2.88,3.12,688,76.8%,10.8%
50144,"2,892","26,339","14,287","2,848",7,9,11,0,2,15,37,39.9,178,570,100,109,301,382,397,121,151,262,219,102,57.1%,558,"$42,700","1,346",864,328,"1,192",782,632,112,410,371,2.37,2.95,"2,814",79.0%,12.4%
50145,26,"17,292","18,318",26,0,0,0,0,0,0,0,39.0,0,6,1,0,4,4,3,0,2,4,1,1,100.0%,0,$0,17,10,4,14,5,3,1,9,9,1.86,3.2,11,100.0%,54.5%
50146,512,"37,250","18,092",509,0,0,0,0,0,3,0,39.4,26,102,13,12,64,76,81,32,22,42,37,5,70.4%,95,"$55,600",225,158,46,204,154,138,7,50,41,2.51,2.89,472,82.2%,1.5%
50147,477,"33,611","17,737",471,0,1,1,1,2,1,5,44.0,27,73,15,16,43,77,59,27,19,57,53,11,53.2%,90,"$34,500",272,157,52,209,139,123,9,70,60,2.28,2.79,474,81.5%,6.0%
50148,405,"41,750","16,288",398,0,1,1,0,0,5,1,39.9,18,84,13,16,45,64,50,21,19,34,35,6,67.3%,83,"$66,800",182,127,40,167,114,98,9,53,47,2.43,2.96,403,83.8%,6.3%
50149,"1,014","31,853","14,535",989,0,1,2,0,12,10,14,38.3,55,196,33,40,125,157,140,69,58,86,48,7,64.0%,151,"$44,200",438,330,74,404,290,254,27,114,88,2.51,2.93,987,84.8%,5.2%
50150,"1,075","31,016","14,089","1,065",1,4,1,0,0,4,2,35.4,87,227,38,38,139,171,110,52,63,79,59,12,56.4%,202,"$41,500",441,354,56,410,311,263,37,99,91,2.62,3.05,"1,053",84.3%,4.9%
50151,753,"39,844","15,961",745,0,0,2,0,4,2,9,39.8,44,138,27,27,75,123,96,49,45,79,41,9,70.7%,115,"$37,000",333,269,38,307,226,202,8,81,69,2.45,2.88,771,81.8%,9.5%
