member_number,date_joined,date_expired,status,member_level,2016 Full Year Member
1790,2005,2016,Expired,Primary,Yes
1799,2005,2016,Expired,Primary,Yes
1801,2005,2017,Active,Primary,Yes
1802,2005,2012,Expired,Primary,No
1804,2005,2016,Expired,Primary,Yes
1805,2005,2014,Expired,Primary,No
1822,2005,2017,Active,Primary,Yes
1826,2005,2018,Active,Primary,Yes
1828,2005,2010,Expired,Primary,No
1835,2005,2015,Expired,Primary,No
1840,2005,2016,Expired,Primary,Yes
1842,2005,2020,Active,Primary,Yes
1858,2005,2010,Expired,Primary,No
1870,2005,2016,Expired,Primary,Yes
1878,2005,2010,Expired,Primary,No
1880,2005,2010,Expired,Primary,No
1887,2005,2012,Expired,Primary,No
1898,2005,2010,Expired,Primary,No
1902,2005,2012,Expired,Primary,No
1911,2005,2011,Expired,Primary,No
1920,2005,2017,Active,Primary,Yes
1935,2005,2017,Active,Primary,Yes
1938,2005,2009,Expired,Primary,No
1948,2005,2011,Expired,Primary,No
1953,2005,2017,Active,Primary,Yes
1954,2005,2010,Expired,Primary,No
1959,2005,2014,Expired,Primary,No
1966,2005,2018,Active,Primary,Yes
1980,2005,2011,Expired,Primary,No
1982,2005,2017,Active,Primary,Yes
1998,2005,2018,Active,Primary,Yes
2003,2005,2029,Active,Primary,Yes
2004,2005,2010,Expired,Primary,No
2008,2005,2011,Expired,Primary,No
2019,2005,2011,Expired,Primary,No
2021,2005,2011,Expired,Primary,No
2022,2005,2012,Expired,Primary,No
2024,2005,2015,Expired,Primary,No
2031,2005,2017,Active,Primary,Yes
2046,2005,2009,Expired,Primary,No
2061,2005,2012,Expired,Primary,No
2062,2005,2011,Expired,Primary,No
2064,2005,2015,Expired,Primary,No
2072,2005,2010,Expired,Primary,No
2082,2005,2011,Expired,Primary,No
2085,2005,2017,Active,Primary,Yes
2092,2005,2010,Expired,Primary,No
2111,2005,2011,Expired,Primary,No
2117,2005,2010,Expired,Primary,No
2126,2005,2017,Active,Primary,Yes
2132,2005,2011,Expired,Primary,No
2138,2005,2017,Active,Primary,Yes
2143,2005,2019,Active,Primary,Yes
2145,2005,2012,Expired,Primary,No
2162,2005,2016,Expired,Primary,Yes
2163,2005,2016,Expired,Primary,Yes
2177,2005,2014,Expired,Primary,No
2198,2005,2012,Expired,Primary,No
2203,2005,2012,Expired,Primary,No
2206,2005,2010,Expired,Primary,No
2208,2005,2017,Active,Primary,Yes
2209,2005,2015,Expired,Primary,No
2214,2005,2017,Active,Primary,Yes
2218,2005,2017,Active,Primary,Yes
2219,2005,2016,Expired,Primary,Yes
2232,2005,2012,Expired,Primary,No
2235,2005,2010,Expired,Primary,No
2238,2005,2010,Expired,Primary,No
2245,2005,2010,Expired,Primary,No
2266,2005,2017,Active,Primary,Yes
2273,2005,2010,Expired,Primary,No
2286,2005,2010,Expired,Primary,No
2322,2005,2014,Expired,Primary,No
2323,2005,2013,Expired,Primary,No
2335,2005,2016,Active,Primary,Yes
2338,2005,2010,Expired,Primary,No
2357,2005,2017,Active,Primary,Yes
2368,2005,2018,Active,Primary,Yes
2380,2005,2011,Expired,Primary,No
2389,2005,2011,Expired,Primary,No
2396,2005,2010,Expired,Primary,No
2399,2005,2014,Expired,Primary,No
2408,2005,2017,Active,Primary,Yes
2431,2005,2010,Expired,Primary,No
2449,2005,2010,Expired,Primary,No
2454,2005,2017,Active,Primary,Yes
2459,2005,2010,Expired,Primary,No
2467,2005,2017,Active,Primary,Yes
2470,2005,2017,Active,Primary,Yes
2495,2005,2020,Active,Primary,Yes
2497,2005,2010,Expired,Primary,No
2500,2005,2018,Active,Primary,Yes
2502,2005,2020,Active,Primary,Yes
2510,2005,2014,Expired,Primary,No
2520,2005,2012,Expired,Primary,No
2530,2005,2011,Expired,Primary,No
2538,2005,2017,Active,Primary,Yes
2539,2005,2017,Active,Primary,Yes
2540,2005,2016,Expired,Primary,Yes
2545,2005,2010,Expired,Primary,No
2561,2005,2018,Active,Primary,Yes
2566,2005,2018,Active,Primary,Yes
2578,2005,2012,Expired,Primary,No
2580,2005,2014,Expired,Primary,No
2583,2005,2014,Expired,Primary,No
2599,2005,2018,Active,Primary,Yes
2616,2005,2010,Expired,Primary,No
2622,2005,2014,Expired,Primary,No
2634,2005,2011,Expired,Primary,No
2637,2005,2010,Expired,Primary,No
2640,2005,2016,Expired,Primary,Yes
2651,2005,2015,Expired,Primary,No
2658,2005,2018,Active,Primary,Yes
2659,2005,2010,Expired,Primary,No
2668,2005,2016,Active,Primary,Yes
2696,2005,2016,Active,Primary,Yes
2699,2005,2013,Expired,Primary,No
2701,2005,2016,Active,Primary,Yes
2703,2005,2010,Expired,Primary,No
2708,2005,2017,Active,Primary,Yes
2726,2005,2012,Expired,Primary,No
2727,2005,2017,Active,Primary,Yes
2734,2005,2016,Expired,Primary,Yes
2735,2005,2011,Expired,Primary,No
2744,2005,2019,Active,Primary,Yes
2747,2005,2017,Active,Primary,Yes
2766,2005,2011,Expired,Primary,No
2770,2005,2010,Expired,Primary,No
2775,2005,2011,Expired,Primary,No
2778,2005,2017,Active,Primary,Yes
2813,2005,2012,Expired,Primary,No
2834,2005,2011,Expired,Primary,No
2835,2005,2010,Expired,Primary,No
2860,2005,2017,Active,Primary,Yes
2877,2005,2011,Expired,Primary,No
2879,2005,2010,Expired,Primary,No
2882,2005,2017,Active,Primary,Yes
2891,2005,2010,Expired,Primary,No
2896,2005,2012,Expired,Primary,No
2900,2005,2017,Active,Primary,Yes
2903,2005,2017,Active,Primary,Yes
2905,2005,2017,Active,Primary,Yes
2917,2005,2017,Active,Primary,Yes
2925,2005,2017,Active,Primary,Yes
2927,2005,2010,Expired,Primary,No
2941,2005,2017,Active,Primary,Yes
2952,2005,2010,Expired,Primary,No
2972,2005,2010,Expired,Primary,No
2977,2005,2011,Expired,Primary,No
2996,2005,2017,Active,Primary,Yes
2998,2005,2011,Expired,Primary,No
3013,2005,2010,Expired,Primary,No
3040,2005,2010,Expired,Primary,No
3047,2005,2010,Expired,Primary,No
3062,2005,2014,Expired,Primary,No
3063,2005,2010,Expired,Primary,No
3068,2005,2015,Expired,Primary,No
3070,2005,2011,Expired,Primary,No
3092,2005,2016,Expired,Primary,Yes
3097,2005,2017,Active,Primary,Yes
3099,2005,2013,Expired,Primary,No
3128,2005,2010,Expired,Primary,No
3143,2005,2017,Active,Primary,Yes
3148,2005,2012,Expired,Primary,No
3152,2006,2014,Expired,Primary,No
3157,2006,2013,Expired,Primary,No
3162,2006,2013,Expired,Primary,No
3163,2006,2017,Active,Primary,Yes
3176,2006,2018,Active,Primary,Yes
3185,2006,2017,Active,Primary,Yes
3195,2006,2012,Expired,Primary,No
3209,2006,2017,Active,Primary,Yes
3210,2006,2010,Expired,Primary,No
3212,2006,2017,Active,Primary,Yes
3235,2006,2018,Active,Primary,Yes
3239,2006,2014,Expired,Primary,No
3246,2006,2017,Active,Primary,Yes
3250,2006,2010,Expired,Primary,No
3264,2006,2012,Expired,Primary,No
3275,2006,2010,Expired,Primary,No
3296,2006,2017,Active,Primary,Yes
3303,2006,2016,Active,Primary,Yes
3319,2006,2013,Expired,Primary,No
3320,2006,2018,Active,Primary,Yes
3330,2006,2013,Expired,Primary,No
3331,2006,2012,Expired,Primary,No
3335,2006,2010,Expired,Primary,No
3343,2006,2012,Expired,Primary,No
3348,2006,2010,Expired,Primary,No
3350,2006,2014,Expired,Primary,No
3352,2006,2010,Expired,Primary,No
3361,2006,2016,Expired,Primary,Yes
3375,2006,2010,Expired,Primary,No
3382,2006,2013,Expired,Primary,No
3385,2006,2016,Expired,Primary,Yes
3398,2006,2020,Active,Primary,Yes
3405,2006,2010,Expired,Primary,No
3414,2006,2017,Active,Primary,Yes
3434,2006,2011,Expired,Primary,No
3441,2006,2019,Active,Primary,Yes
3443,2006,2017,Active,Primary,Yes
3451,2006,2010,Expired,Primary,No
3453,2006,2011,Expired,Primary,No
3454,2006,2015,Expired,Primary,No
3465,2006,2010,Expired,Primary,No
3466,2006,2010,Expired,Primary,No
3471,2006,2017,Active,Primary,Yes
3487,2006,2010,Expired,Primary,No
3493,2006,2014,Expired,Primary,No
3533,2006,2017,Active,Primary,Yes
3540,2006,2016,Expired,Primary,Yes
3546,2006,2011,Expired,Primary,No
3554,2006,2013,Expired,Primary,No
3573,2006,2013,Expired,Primary,No
3584,2006,2010,Expired,Primary,No
3590,2006,2014,Expired,Primary,No
3591,2006,2017,Active,Primary,Yes
3598,2006,2017,Active,Primary,Yes
3603,2006,2010,Expired,Primary,No
3606,2006,2010,Expired,Primary,No
3620,2006,2011,Expired,Primary,No
3636,2006,2012,Expired,Primary,No
3638,2006,2011,Expired,Primary,No
3644,2006,2010,Expired,Primary,No
3666,2006,2012,Expired,Primary,No
3667,2006,2017,Active,Primary,Yes
3669,2006,2017,Active,Primary,Yes
3675,2006,2014,Expired,Primary,No
3698,2006,2016,Expired,Primary,Yes
3716,2006,2010,Expired,Primary,No
3724,2006,2012,Expired,Primary,No
3726,2006,2014,Expired,Primary,No
3733,2006,2017,Active,Primary,Yes
